iso3,country,capital,lat,lon,source
USA,United States,Washington DC,38.9072,-77.0369,"CIA World Factbook / GeoNames standard capital coordinates (published reference, not fetched via WebFetch per task instructions)"
CHN,China,Beijing,39.9042,116.4074,"CIA World Factbook / GeoNames standard capital coordinates (published reference, not fetched via WebFetch per task instructions)"
IND,India,New Delhi,28.6139,77.2090,"CIA World Factbook / GeoNames standard capital coordinates (published reference, not fetched via WebFetch per task instructions)"
DEU,Germany,Berlin,52.5200,13.4050,"CIA World Factbook / GeoNames standard capital coordinates (published reference, not fetched via WebFetch per task instructions)"
JPN,Japan,Tokyo,35.6895,139.6917,"CIA World Factbook / GeoNames standard capital coordinates (published reference, not fetched via WebFetch per task instructions)"
KOR,Korea (Republic of),Seoul,37.5665,126.9780,"CIA World Factbook / GeoNames standard capital coordinates (published reference, not fetched via WebFetch per task instructions)"
VNM,Viet Nam,Hanoi,21.0285,105.8542,"CIA World Factbook / GeoNames standard capital coordinates (published reference, not fetched via WebFetch per task instructions)"
MEX,Mexico,Mexico City,19.4326,-99.1332,"CIA World Factbook / GeoNames standard capital coordinates (published reference, not fetched via WebFetch per task instructions)"
THA,Thailand,Bangkok,13.7563,100.5018,"CIA World Factbook / GeoNames standard capital coordinates (published reference, not fetched via WebFetch per task instructions)"
IDN,Indonesia,Jakarta,-6.2088,106.8456,"CIA World Factbook / GeoNames standard capital coordinates (published reference, not fetched via WebFetch per task instructions)"
MYS,Malaysia,Kuala Lumpur,3.1390,101.6869,"CIA World Factbook / GeoNames standard capital coordinates (published reference, not fetched via WebFetch per task instructions)"
BRA,Brazil,Brasilia,-15.7939,-47.8828,"CIA World Factbook / GeoNames standard capital coordinates (published reference, not fetched via WebFetch per task instructions)"
CAN,Canada,Ottawa,45.4215,-75.6972,"CIA World Factbook / GeoNames standard capital coordinates (published reference, not fetched via WebFetch per task instructions)"
SGP,Singapore,Singapore,1.3521,103.8198,"CIA World Factbook / GeoNames standard capital coordinates (published reference, not fetched via WebFetch per task instructions)"
TWN,Taiwan,Taipei,25.0330,121.5654,"CIA World Factbook / GeoNames standard capital coordinates (published reference, not fetched via WebFetch per task instructions)"
