reporter_iso3,partner_iso3,product_group,year,indicator,value,unit,source_url,retrieved_utc
usa,chn,84-85_MachElec,2022,MPRT-TRD-VL,258664731.04,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2022/partner/chn/product/all/indicator/MPRT-TRD-VL,2026-09-01T01:33:38Z
usa,chn,28-38_Chemicals,2022,MPRT-TRD-VL,32560306.388,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2022/partner/chn/product/all/indicator/MPRT-TRD-VL,2026-09-01T01:33:38Z
usa,chn,72-83_Metals,2022,MPRT-TRD-VL,34520715.3,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2022/partner/chn/product/all/indicator/MPRT-TRD-VL,2026-09-01T01:33:38Z
usa,chn,86-89_Transport,2022,MPRT-TRD-VL,21902448.192,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2022/partner/chn/product/all/indicator/MPRT-TRD-VL,2026-09-01T01:33:38Z
usa,chn,Total,2022,MPRT-TRD-VL,575688091.172,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2022/partner/chn/product/all/indicator/MPRT-TRD-VL,2026-09-01T01:33:38Z
usa,ind,Total,2022,MPRT-TRD-VL,90991853.182,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2022/partner/all/product/Total/indicator/MPRT-TRD-VL,2026-09-01T01:33:38Z
usa,vnm,Total,2022,MPRT-TRD-VL,135876540.954,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2022/partner/all/product/Total/indicator/MPRT-TRD-VL,2026-09-01T01:33:38Z
usa,mex,Total,2022,MPRT-TRD-VL,459177656.357,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2022/partner/all/product/Total/indicator/MPRT-TRD-VL,2026-09-01T01:33:38Z
usa,jpn,Total,2022,MPRT-TRD-VL,154445161.543,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2022/partner/all/product/Total/indicator/MPRT-TRD-VL,2026-09-01T01:33:38Z
usa,kor,Total,2022,MPRT-TRD-VL,120859256.396,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/usa/year/2022/partner/all/product/Total/indicator/MPRT-TRD-VL,2026-09-01T01:33:38Z
