iso3,indicator_code,indicator_name,year,value,source_url,retrieved_utc
BRA,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2015,2.57,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
BRA,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2016,2.38,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
BRA,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2017,2.42,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
BRA,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2018,2.29,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
BRA,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2019,2.26,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
BRA,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2020,2.15,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
BRA,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2021,2.42,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
BRA,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2022,2.28,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
BRA,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2023,2.27,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
BRA,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2024,2.32,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CAN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2015,16.09,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CAN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2016,15.9,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CAN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2017,16.2,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CAN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2018,16.52,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CAN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2019,16.19,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CAN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2020,14.42,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CAN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2021,14.69,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CAN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2022,14.78,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CAN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2023,14.16,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CAN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2024,14.01,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CHN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2015,7.79,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CHN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2016,7.76,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CHN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2017,7.88,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CHN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2018,8.22,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CHN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2019,8.39,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CHN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2020,8.48,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CHN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2021,8.89,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CHN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2022,8.86,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CHN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2023,9.23,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
CHN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2024,9.32,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
DEU,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2015,9.61,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
DEU,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2016,9.58,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
DEU,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2017,9.37,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
DEU,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2018,9.01,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
DEU,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2019,8.38,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
