reporter_code,reporter_name,product_hs6,product_label,year,tariff_type,rate_simple_avg,total_lines,min_rate,max_rate,datatype,source_url,retrieved_utc
840,United States,300420,medicaments containing antibiotics,2018,MFN,0,1,0,0,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/840/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
840,United States,300490,medicaments nes (retail),2018,MFN,0,2,0,0,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/840/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
840,United States,720839,flat-rolled hot-rolled steel coils <3mm,2018,MFN,0,1,0,0,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/840/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
840,United States,721049,flat-rolled steel zinc-plated/coated other,2018,MFN,0,1,0,0,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/840/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
840,United States,850760,lithium-ion accumulators,2018,MFN,3.40,1,3.40,3.40,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/840/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
840,United States,854231,ICs processors/controllers,2018,MFN,0,1,0,0,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/840/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
840,United States,854232,ICs memories,2018,MFN,0,1,0,0,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/840/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
840,United States,870380,electric-only vehicles,2018,MFN,2.5,1,2.5,2.5,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/840/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
156,China,300420,medicaments containing antibiotics,2018,MFN,6,15,6,6,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/156/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
156,China,300490,medicaments nes (retail),2018,MFN,3.75,32,3,6,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/156/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
156,China,720839,flat-rolled hot-rolled steel coils <3mm,2018,MFN,3,2,3,3,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/156/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
156,China,721049,flat-rolled steel zinc-plated/coated other,2018,MFN,4,1,4,4,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/156/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
156,China,850760,lithium-ion accumulators,2018,MFN,12,3,12,12,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/156/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
156,China,854231,ICs processors/controllers,2018,MFN,2.30,4,0,6.70,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/156/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
156,China,854232,ICs memories,2018,MFN,1.35,2,0,2.70,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/156/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
156,China,870380,electric-only vehicles,2018,MFN,25,1,25,25,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/156/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
356,India,300420,medicaments containing antibiotics,2018,MFN,10,29,10,10,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/356/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
356,India,300490,medicaments nes (retail),2018,MFN,10,70,10,10,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/356/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
356,India,720839,flat-rolled hot-rolled steel coils <3mm,2018,MFN,12.5,5,12.5,12.5,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/356/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
356,India,721049,flat-rolled steel zinc-plated/coated other,2018,MFN,12.5,1,12.5,12.5,reported,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/TRN/reporter/356/partner/000/product/854231%3B854232%3B300490%3B300420%3B850760%3B870380%3B720839%3B721049/year/2018/datatype/reported,2026-09-01
